uf;evento;data_referencia;total_peso
AC;Apreensão de Cocaína;01/01/2024;5,82
AL;Apreensão de Cocaína;01/01/2024;42,13
AM;Apreensão de Cocaína;01/01/2024;126,58
AP;Apreensão de Cocaína;01/01/2024;0,87
BA;Apreensão de Cocaína;01/01/2024;40,37
CE;Apreensão de Cocaína;01/01/2024;95,83
DF;Apreensão de Cocaína;01/01/2024;28,00
ES;Apreensão de Cocaína;01/01/2024;8,80
GO;Apreensão de Cocaína;01/01/2024;176,09
MA;Apreensão de Cocaína;01/01/2024;61,52
MG;Apreensão de Cocaína;01/01/2024;
MS;Apreensão de Cocaína;01/01/2024;533,37
MT;Apreensão de Cocaína;01/01/2024;1428,50
PA;Apreensão de Cocaína;01/01/2024;74,09
PB;Apreensão de Cocaína;01/01/2024;10,26
PE;Apreensão de Cocaína;01/01/2024;9,29
PI;Apreensão de Cocaína;01/01/2024;0,26
PR;Apreensão de Cocaína;01/01/2024;472,38
RJ;Apreensão de Cocaína;01/01/2024;
RN;Apreensão de Cocaína;01/01/2024;66,15
RO;Apreensão de Cocaína;01/01/2024;390,00
RR;Apreensão de Cocaína;01/01/2024;5,95
RS;Apreensão de Cocaína;01/01/2024;414,20
SC;Apreensão de Cocaína;01/01/2024;120,36
SE;Apreensão de Cocaína;01/01/2024;50,59
SP;Apreensão de Cocaína;01/01/2024;2461,51
TO;Apreensão de Cocaína;01/01/2024;
AC;Apreensão de Cocaína;01/02/2024;18,88
AL;Apreensão de Cocaína;01/02/2024;23,95
AM;Apreensão de Cocaína;01/02/2024;923,70
AP;Apreensão de Cocaína;01/02/2024;5,35
BA;Apreensão de Cocaína;01/02/2024;42,15
CE;Apreensão de Cocaína;01/02/2024;471,18
DF;Apreensão de Cocaína;01/02/2024;45,00
ES;Apreensão de Cocaína;01/02/2024;4,38
GO;Apreensão de Cocaína;01/02/2024;143,42
MA;Apreensão de Cocaína;01/02/2024;10,57
MG;Apreensão de Cocaína;01/02/2024;
MS;Apreensão de Cocaína;01/02/2024;846,59
MT;Apreensão de Cocaína;01/02/2024;1176,64
PA;Apreensão de Cocaína;01/02/2024;582,59
PB;Apreensão de Cocaína;01/02/2024;15,56
PE;Apreensão de Cocaína;01/02/2024;4,84
PI;Apreensão de Cocaína;01/02/2024;1,47
PR;Apreensão de Cocaína;01/02/2024;765,73
RJ;Apreensão de Cocaína;01/02/2024;
RN;Apreensão de Cocaína;01/02/2024;40,14
RO;Apreensão de Cocaína;01/02/2024;2,00
RR;Apreensão de Cocaína;01/02/2024;2,76
RS;Apreensão de Cocaína;01/02/2024;264,61
SC;Apreensão de Cocaína;01/02/2024;83,24
SE;Apreensão de Cocaína;01/02/2024;60,99
SP;Apreensão de Cocaína;01/02/2024;3208,64
TO;Apreensão de Cocaína;01/02/2024;
AC;Apreensão de Cocaína;01/03/2024;25,53
AL;Apreensão de Cocaína;01/03/2024;22,29
AM;Apreensão de Cocaína;01/03/2024;213,26
AP;Apreensão de Cocaína;01/03/2024;3,29
BA;Apreensão de Cocaína;01/03/2024;59,93
CE;Apreensão de Cocaína;01/03/2024;161,69
DF;Apreensão de Cocaína;01/03/2024;16,00
ES;Apreensão de Cocaína;01/03/2024;3,44
GO;Apreensão de Cocaína;01/03/2024;100,50
