AIS;Data;Hora;Dia da Semana;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
AIS 23;01/jan/23;18:00;Domingo;Feminino;34;Alfabetizado;Não Informada
AIS 14;01/jan/23;8:00;Domingo;Feminino;9;Não Informada;Não Informada
AIS 14;01/jan/23;8:00;Domingo;Feminino;9;Não Informada;Não Informada
AIS Não Identificada (Fortaleza);01/jan/23;8:00;Domingo;Feminino;20;Ensino Médio Completo;Parda
AIS 01;01/jan/23;2:00;Domingo;Feminino;18;Superior Incompleto;Não Informada
AIS 23;01/jan/23;1:00;Domingo;Feminino;24;Ensino Médio Incompleto;Não Informada
AIS 13;02/jan/23;1:00;Segunda;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 18;02/jan/23;9:00;Segunda;Feminino;6;Não Informada;Parda
AIS 15;02/jan/23;10:00;Segunda;Feminino;13;Não Informada;Branca
AIS 23;02/jan/23;15:00;Segunda;Feminino;11;Não Informada;Não Informada
AIS 21;02/jan/23;10:00;Segunda;Não Informado;Não Informada;Não Informada;Não Informada
AIS 15;02/jan/23;3:00;Segunda;Feminino;40;Ensino Médio Completo;Não Informada
AIS 15;02/jan/23;3:00;Segunda;Feminino;40;Ensino Médio Completo;Não Informada
AIS 14;03/jan/23;22:00;Terça;Masculino;8;Não Informada;Não Informada
AIS 13;03/jan/23;10:00;Terça;Masculino;4;Não Alfabetizado;Não Informada
AIS 19;03/jan/23;8:00;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 02;03/jan/23;10:00;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 20;03/jan/23;11:00;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 14;03/jan/23;11:00;Terça;Feminino;13;Ensino Médio Incompleto;Não Informada
AIS 19;04/jan/23;20:30;Quarta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 14;04/jan/23;0:00;Quarta;Feminino;10;Alfabetizado;Não Informada
AIS 03;04/jan/23;10:00;Quarta;Feminino;2;Não Alfabetizado;Não Informada
AIS 23;04/jan/23;18:37;Quarta;Feminino;Não Informada;Não Informada;Não Informada
AIS 14;04/jan/23;0:00;Quarta;Feminino;30;Ensino Médio Completo;Não Informada
AIS 10;04/jan/23;16:00;Quarta;Feminino;34;Alfabetizado;Parda
AIS 18;05/jan/23;12:00;Quinta;Masculino;3;Não Alfabetizado;Não Informada
AIS 19;05/jan/23;22:00;Quinta;Feminino;10;Não Informada;Não Informada
AIS 16;05/jan/23;19:00;Quinta;Feminino;2;Não Alfabetizado;Não Informada
AIS 06;05/jan/23;10:00;Quinta;Feminino;17;Ensino Médio Incompleto;Não Informada
AIS 05;05/jan/23;16:30;Quinta;Feminino;21;Ensino Fundamental Completo;Não Informada
AIS 10;05/jan/23;15:00;Quinta;Feminino;25;Superior Incompleto;Parda
AIS 13;06/jan/23;0:24;Sexta;Feminino;31;Ensino Médio Completo;Não Informada
AIS 14;07/jan/23;12:00;Sábado;Masculino;9;Alfabetizado;Não Informada
AIS 21;07/jan/23;17:30;Sábado;Masculino;Não Informada;Não Alfabetizado;Não Informada
AIS 21;07/jan/23;17:30;Sábado;Feminino;Não Informada;Não Alfabetizado;Não Informada
AIS 16;08/jan/23;23:00;Domingo;Feminino;15;Alfabetizado;Parda
AIS Não Identificada (Fortaleza);08/jan/23;10:00;Domingo;Feminino;14;Ensino Fundamental Completo;Não Informada
AIS 05;08/jan/23;17:00;Domingo;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 06;09/jan/23;1:00;Segunda;Masculino;6;Ensino Fundamental Incompleto;Parda
AIS 05;09/jan/23;17:30;Segunda;Feminino;16;Ensino Médio Incompleto;Branca
AIS 20;09/jan/23;23:30;Segunda;Feminino;3;Não Alfabetizado;Não Informada
AIS 20;09/jan/23;7:20;Segunda;Feminino;53;Ensino Médio Completo;Não Informada
AIS 06;10/jan/23;19:00;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS Não Identificada (Fortaleza);10/jan/23;10:00;Terça;Feminino;11;Não Alfabetizado;Não Informada
AIS 06;10/jan/23;19:00;Terça;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 14;10/jan/23;20:00;Terça;Feminino;14;Alfabetizado;Não Informada
AIS 19;10/jan/23;10:00;Terça;Feminino;29;Não Alfabetizado;Não Informada
AIS 19;11/jan/23;12:00;Quarta;Feminino;13;Alfabetizado;Parda
AIS 22;11/jan/23;10:00;Quarta;Feminino;22;Ensino Médio Completo;Não Informada
AIS 17;12/jan/23;8:00;Quinta;Masculino;10;Alfabetizado;Parda
AIS 22;12/jan/23;10:00;Quinta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 18;12/jan/23;0:40;Quinta;Feminino;22;Ensino Médio Completo;Não Informada
AIS 07;12/jan/23;23:45;Quinta;Feminino;22;Superior Completo;Não Informada
AIS 08;13/jan/23;12:00;Sexta;Feminino;1;Não Informada;Não Informada
AIS 21;13/jan/23;10:00;Sexta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 24;13/jan/23;23:50;Sexta;Feminino;13;Ensino Médio Incompleto;Não Informada
AIS 07;13/jan/23;14:00;Sexta;Feminino;4;Não Alfabetizado;Não Informada
AIS 14;13/jan/23;8:00;Sexta;Feminino;14;Alfabetizado;Não Informada
AIS 17;13/jan/23;10:00;Sexta;Feminino;Não Informada;Ensino Fundamental Completo;Parda
AIS 11;13/jan/23;22:00;Sexta;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 14;14/jan/23;18:00;Sábado;Feminino;9;Alfabetizado;Não Informada
AIS 19;14/jan/23;2:00;Sábado;Feminino;13;Não Informada;Não Informada
AIS 19;14/jan/23;9:00;Sábado;Feminino;4;Não Alfabetizado;Não Informada
AIS 18;14/jan/23;4:00;Sábado;Feminino;28;Ensino Fundamental Completo;Não Informada
AIS 19;14/jan/23;6:30;Sábado;Feminino;68;Não Alfabetizado;Não Informada
AIS 08;15/jan/23;23:30;Domingo;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS Não Identificada (Fortaleza);15/jan/23;21:00;Domingo;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 03;15/jan/23;14:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 03;15/jan/23;12:00;Domingo;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 11;15/jan/23;19:00;Domingo;Feminino;13;Alfabetizado;Não Informada
AIS 03;15/jan/23;14:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 23;15/jan/23;21:30;Domingo;Feminino;9;Alfabetizado;Não Informada
AIS 03;15/jan/23;14:00;Domingo;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 08;15/jan/23;11:00;Domingo;Feminino;0;Não Alfabetizado;Não Informada
AIS 23;15/jan/23;21:30;Domingo;Feminino;10;Alfabetizado;Não Informada
AIS 09;15/jan/23;17:00;Domingo;Feminino;22;Não Alfabetizado;Branca
AIS Não Identificada (Fortaleza);15/jan/23;21:03;Domingo;Feminino;26;Superior Incompleto;Não Informada
AIS 25;16/jan/23;21:09;Segunda;Feminino;Não Informada;Não Informada;Parda
AIS 13;16/jan/23;12:00;Segunda;Feminino;36;Ensino Médio Completo;Parda
AIS Não Identificada (Fortaleza);16/jan/23;20:00;Segunda;Feminino;11;Ensino Fundamental Incompleto;Não Informada
